Account,Token Account,Quantity,Percentage
4ViM7bxSqFUUWdtDuprAaFj8TD2QwZsYKqn3LJTXj1Si,3gmPH6A4qtY2DgqiVw4Vq9yPBAp1kbWQ3mQCME1i5gsR,269575.989798046,0.03
8Bk18DSmFX2m7gauc6zYdUtKrP8mXFR6oEu5zNGqgyfw,HjuBBXbxU1ocjPTZn2XSngwuweJKtwZtDGCvbhFZijLg,266013.685819369,0.03
D4HCnYBCgkwYt4zvC5MLmKK3VEd6evuQQgFBHbhyPwBc,AJKe53bGfUn2TPqfLpGxPPoGqhpLZe3BBvEkwuZ7UjeU,264785.493484561,0.03
4EmLwbH8Q7AJLw8GvdrjA2EDjv3E3AWCqGkgynVKpVJ8,3UYmVSpKhXZm8D9d6ErxkCYAagc9Q9QVHEcqq8PNDHia,236765.72747161,0.03
BkjSumKWjmGEZXEpL4A3MynuivGriokc2GpXbR6MdJyV,B8f6ijxChbVsJGL8713izeWxizvyYRPxFcp32gei1cDj,234234.934381339,0.03
GJ8KPaaC8brPFVLL2mcnLaCFtHjfkWHRvgDnJv4zBmzF,H2d5ZT5vXeWmeyL2zKsDv9KNikysdBCyaSmLbinrKMwo,234147.705244256,0.03
92QpZsmaKLFC62dwBCDbojEY8Q27NVxU96jwzRREtork,4sV3gTksys2QGGWotHj7wWbVpxkfuT6trETUUNeapdTC,231182.169128706,0.03
f1yQDDJd9Eq6MGbC5PECqLW6srTG4wYz9g7mH1GEhsb,43o7kXCEdxVwo2hEEvdRNb1sDZU731VV9NVZf9VVhed4,230266.906633479,0.03
GdHotwT73smJZbtL4hgx72qXjjRtXALcUVQ6Jvbw14qg,FLWrppUdpbmzpWYEtLEAUBhd5uTmvyRUQxVMhxaoPVh5,229524.234759474,0.02
12NZhrj5FRoqXKM2rSdiN3MF78AbeYckiR9FJ6wQcZcR,F4siYku3qMkJGo1HX1Z1UVBgxSFyEdoj1c7PEBD3qc6Z,225000,0.02
9GVrMeKSrY591zn7CvdfJdWCn3P4ShSmENgNs8hSkqgf,HZP9D4WyjYgQ7zzS32X5enjeY18RiGtE7HNNyqQCRE42,221930.075269958,0.02
Cr9RBGeLPGgjLUzMSk13u5BZ5BTNe1YjqfCMZxUkEGMT,CLyFPuBZvh8WYT2prjQc5qbRWZkm1qWVEja7FpDo6yNr,221720.652533485,0.02
D9GYt4W7VvteKCSvTgyjzuiBJyTy94Kmr6YiC9fbxGjW,Cskes5L18TLkk6GuwdkcJyJRkRqymj2WV1zE5e58WBw9,207286.159107241,0.02
7udUEDAQH9xhmeFeVFAyP1GXDUJ2HP5WPvjEJwEoGzku,DewQoEhR4qvhfQJwvseeqCetVoEw4H1PLtogn1vdbswu,188051.100482251,0.02
HV22AqDGYL3GWRkLZFUbuDmypWi2Fs1grxGesxMKQYVX,BDAsK4v1eszBXG2e3JwNMXghhj9oCdjKnKect9K33jqi,176225.125974139,0.02
3v6Ypsk7gqJrBsfjGJFSnWezk2HDAkUx9WZQcD5JQyEp,3E4hwQvCogikWCPMkVe7tFc6xXCqLSd5FFBxdw9fpnGi,173585.822768205,0.02
Ebwe1HUBGsnC6MUbjK8fX5Giks7Jgo5Zv8zDtQjodfFM,4YVNUmbNioAAJAm3UeEpuhjCpvYbrHuAtHYCr6371BCM,172946.654407174,0.02
994uLhnYNDHDZk8WYMyj4qte4J5JGdZxUA1Gohj5J7V6,7bas4yXeCXKz6ZQ5DDJPqn7HwERNWtyE7p1Lph8ct5gd,170405.839508682,0.02
8UXNM7XaTRdkVxTdWVCNdfermzQBjKcZf1h3xRKaVHMe,HiA3EDZg6PPCdDoaMEUg2TQrDyKJqNZUpjj11n5VofL7,168407.403495776,0.02
G2zZtc4g8F3rUhaq9NimGSwav4BF6jCp2WHoxnCzHbq1,Hg6LZZmEBc83s8R3uiPsceD4VQgF7bnCuKygRJ5Ex5TK,166998.884561573,0.02
53rPfREmAsCgZGNKxaFggJpWAvwKwuHTJc7LQeJUHbFe,5VZurzMLitHdLiiGf6iBYhW3CspbnRx5DmuChYYqm292,164510.589029856,0.02
9KhfYWgcQU3EMbMaiRmvqDA77uDxhCFqzgQGJBU2wqGB,ECC2hbMh1ZQb2sFVMMe2ceBGM7GYEH6bPm3DMQYQjNK6,162413.482365692,0.02
qkd7syUaZu7XKeLcQQZkzH53y5rPm1fjcZKHiaVockx,GypzCGUg2fEBsQqyEf1UKSw2kfkeCqdLM8Ci6XrsUrzL,157231.663826756,0.02
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,FfseArhWcnVDZJhoczBPCo9aj7tvD431VHLEsViGhg2J,155588.793134742,0.02
5EQ8wZRYfBy5HtRBwmQFVjqqeyF74RPU7jZfqjVJw9EW,AkeraPN5UVfgtjiq6rTWk3FuKms5rLY7cmzwCAcsHtpe,150000,0.02
HhQQLr8RM2WmBT3nF2J9Gr8biW14xE9aWVMKc5H2FC5w,FuUYVNGiQLxmitXdj3qWHTQqSizgBeGqrC49GKNsKUni,140930.40483201,0.02
3dRF3UvGwpSCuzQ3EQS5XeNcuBq7UQFEicynJRAFiCja,7MEcr3zo3TbF48EHeL8Fex5attvVUgQ8H437YZhtZ4PY,135946.979387027,0.01
8KTCb6g8FxrGwXrXdorcYs4gTfMZHmZvzLTzYLT22cK4,A8jkXRN5BEXUvWVx8cQejfHkZt6aDVHhZnYjTfYVUgVp,134866.288836915,0.01
rFU4jojcNxn8ow9x5Z363wagLvuJfMjHpmkXSBjTPz8,C9S4qnGJmYD5wNeUYmmFZzKtNSaU6Pw9f9h7SXZKhuN7,132011.628421482,0.01
EzF6vEtuSrrxXTK3dETUCdFiMYsbax8mCayPfAtpobi2,DcFr5XZf9ZpzoJ4RraZp9FF16GPwzMp8LYvBz1dTqhxq,131316.744713556,0.01
5RQ2LTsXkL6i312qAcCTH7UZNmNzYaNYsCZ7716vUVwh,ACwaA3YsHBjgiLR5bPC1AZDybGHAeCk49RdmZ9hSWUa9,129997.345447737,0.01
E8E7NUQeuvmXpN6f8wcXLPj2WemJMXgM2HA2EhwVmMSW,CTLSwhnh7DGxePePXtXkvY7QSqixhgAeJoRN6WmXDyXs,126885.6203172,0.01
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,9vxrs8nethwp5h6JLuphCfA4q8cbPDwxpA3jT3S3K5Ch,123002.826478409,0.01
HsCRFS1wpNcwzkgvzGBzT6mjKK2xgqYzt7hkaf4V8jMr,G96ZuDkwCvC4Yj6xwgP8XTjD6ppSCP9znyGdHA8eJ1S7,122596.530977561,0.01
AkUFFY4CFxEmPhHrtZf897cnSptTAqQxWdiPstD73Jxz,ANKaWCiBHZVGj3bvdvq2QGEFH1cVAu31gA9PsAMxiPQ8,120163.319464241,0.01
BDRG4rDMpp4E59L1CcnVekR9tq5eaywhXmWwKAgVAbrg,MWceVFq2biCcWHzfLzQyZj9dYuS8KpLtAyyuPw9p8WY,120063.371630204,0.01
6w9cJ6o2jbQSU5Vs37EDnpgB3iwY5Keqqk93u7T2EWw,36QrLpoHxj4VhXEQmvWHkKJ4wQ5DnTuRoVJiKNx5six1,115580.687409413,0.01
DtgFXHt2c8EzirAGyXyD8516rTgZaAmGCq58AgXLEcwY,DMazoHKkWA29qSgw2SGe4ofFgV9PmzViWsJR41EWuN9F,113772.36389618,0.01
3wYobpZz7Gb9z7pq68UDaTGop2gxD5Dwnhx7sa9AXrVM,F6Tm7JdQUyikNrWPuxepTquqXkZxonuBLfqizZUHTS9s,105091.235520883,0.01
2jrLqfqniZG78dgdPrZK2dxEAjsF7wTXwQK7ithjDrA9,Fo8a3aWUsMsF6KaJ7Ruv8j9YwteKCJKaWu2yrQM5YAKw,102058.515283695,0.01
GHjM7cwEMx6xQWDUs3Xemp2J6EhpJCXaTb6WQRXB1mR3,99JF5asRqPYDMEqxMxT8HGzoZhhdDj8xiaTJ9cUbRvmb,101468.806276112,0.01
3hCm4gfode2Vo36h2n2zDvcjeGKzfSZtDjHaQxacvDDQ,9LAPkudvWxzsHFYmErhAAnCycad8DvHrSVKrLe9fxScb,100000,0.01
CModDkVJFL16g5hWHAxXYwxm5erDCWo2FxrkGBX8iYjd,EJ3CLxc8feEDxFBETZKBvZAaMP1VGN6MEHwq9L9oLBiR,100000,0.01
498u5ux3aV27ms3V2oiRv5n5gmhrXTtBu6ncnf4LfyvT,8sfgZvmBivZpfwkPHkiLaL98zTopugFR5wFVxFyG4LTw,98705.563634622,0.01
CVW2z8norrhsA1ktVnGR5to5faSFsJdFRiQwLr4Bj2v1,Cerw6TZoFR2gDLsQtzsDA1VBn2p8cPSiLm915w5YUxjG,95777.882851493,0.01
9h7PHpXsaDY1fnechuKWK4jFeYcZaezBdsD2ajB9LL5b,CGHrMcnWBqqFcGAz6DTk2P5Wwjt3yMq9nQdHBYyY7Aog,94781.956259782,0.01
EL8hMwL7BdynAmDRrDxBMZQRikYVrDHWHj5NxaPoWnpf,7WsnLNo57CNjsa8p5HERM1fsEMavGJkSMFDJ8xfhj1uM,91477.576711964,0.01
B7paX74fw3vPyjgbm87rf6M9GbfzPKhs2WAwWf1XxpVg,E1LJhC3x7TZjvyN91wwNkZUdcT644SvAqFSStTKVKiYg,90786.764392645,0.01
7J48GsYPbx6DfoW9gjawKsvVvZASvcmY8nS3hsBWWRQV,CC9X22h7mmaSnenJf1QWUszrCy6zFd5Q8PqH7eXy1Mzf,89820.868231881,0.01
3aJxSbHwiYSrKKiPGa1aqe9BD9CBaF97WGhtnnsRedfg,GeqDftKyw3YeV87BzSMce6s5CGfPGYNwqHitAh3Ra45K,88858.12829751,0.01
9cRfztkWR3TKoDTMbnxYzkMif5hogxFhg8Hsoqw14ZSw,7T4RPZpkkfBtpfgoaSJfRvneurJjQKdZEj8syMYKoMBy,87359.77355426,0.01
95Rk4qxCJ7RBKLYGtYqCngkqw8X7n2QZYfdXaioyvQvX,Fn6Zai8Y6VxTXQ8yt2RDdtihBA3oN5ihvFVJ8YkBCWyV,86096.087996592,0.01
Bh1uPKcpwYQpF8CPuxRr8KKsGKWXxpqjH8cjN3ez4eQK,AykHshkyb616SVcpfz3NBfoxKnCir8aWCyR7FwBF7oLh,81928.650390888,0.01
2jsxnpkyZVeA366mnwwwLKhu8UkzMM2t9JfcHeBoL6jZ,7FLvEUSaGiwiCYjKNUfT7MuoXAMjMciZSHcTtcLijhst,78388.832776171,0.01
Hp7XXgE3LrWc6vix1SvJHf2tu2mwaFAX5ZfzDuYj4ab5,TgzuAkCqpfN5ZpzDr3J4MLe6Vk5YcbrG6FfZMt23SmK,76861.17969704,0.01
FBYmU5XbRgX2DV2i2SpPPpHpXmf6mdZS98wQChmUyMba,8TtdCTrbfBm1iEfuW3ZyRppoxcsy6f25PV8zZhRhQ8dm,76288.181979947,0.01
As6D2B8kWJ7g259rcFo1DEXJ1sJwbP53kYAWRoEh5npj,2XZSgCXmrMA5YSinPsybMnT5ym1NPjQDMaM415MGFo2k,76287.774801231,0.01
8DKez9T8xQXZcojbbrP5iHUCTBPsXXkWmro3kRSDbBtd,9PB4EGrQW6ftLDv2PwMtFrBSgUDRNzHEkQy4i1kXJ9th,74840.964330399,0.01
EYNx8gomHTLMfbQ9F4cEvUq2ZExoNpK35PkVf7xkzGw7,9v1rmEaCW3JTRdLmsNN2LfdiuNcCdK9Sp8vfZh37L65h,74275.34163304,0.01
J3vicGyrS1oiHZy47m65FruhaSVwqJio3Sxm7qw4JCQZ,8QTXwrdKuLdnYN56G78KjmtH8rB6pu824efSGG3oeaKw,73180.423371132,0.01
6ykZtTBhMmHX36tawGftsDjDLj2xAY9X62fE7skCuYz7,Bv3efu6zbonFQCGK5GAp6HRmAf8L99C8ox32HAo1WRTe,71515.506044634,0.01
3vuwMSDfuZ8x729pCWjg2q6BZc86cUSfipuX8Jd9y7Fr,6CxAcTmP1AFpcPQujPQp5FMSpG12caqqHnkQEDb3GZuS,70510.5940497,0.01
BxZGE6dqqT2UQYfB8qy7oFmjkoHkJgkFxayvsrXyj1kw,DJFRt3ZA1SQ8AAJCG5ueDAaS2Wu9ChB33RjzBwb2t9E9,69034.631796457,0.01
8nUWwBbypLXVzXdqB3DkErgg5Kd6twfwkqZj8Js7YseK,5LAg1sMXn1aTNqLz89FHiDvqgnfBERDe24AG2WLgpNtN,68067.269194447,0.01
xBJpi7DERSamqVjYprFdhdCH6vzrUG22avM9TtEhxnH,HzXhr67qz8Mo72s2iYRDmBYD7GadQJW26wVWs8c3P96h,67343.523477925,0.01
AevBmnEoStENN4idgXduwvfFD1tY98goajw2kueN26c9,Sxg8WzbHRYAuPYy8tUBuaNnm3BgdcKKbMECC7TQvf2R,63594.256864425,0.01
FqVJudrmdeZWRSRPE68bvLC8hch2HoTbquYGEpxKLgAA,5jU1VNELqfCuyHNPzVhSetsDXuaomyAWKxFFCtTSn6gv,62781.751617372,0.01
5drNkEWVb7EPJb2n32pZYUSoyU7susbCgzzfcZJgmE6h,2rL3L7eiueSxyTkLtUCaaUMPhUQakQqc97PGxSomPSUG,60773.882275469,0.01
9c1iVvb2oMkNTapQHg27tyxWHYtwjwvF7XuSH6Hq9NPg,13wpbCpbHDYeKjk8ZoD7dMtiALwt7ZNKsmqCfgMMb81J,57932.928927851,0.01
2vD1H2VwcZv11iFi83oPo6v4dCHXQ3xKTdLwgFGzPZ6B,Gy9DfiVSKmyHUYpGZUwAbrnpWGdGjyZbWpbwbdHSQLWu,57690,0.01
HprjwQpwWr66r1WABu7upMwYFtAahCEj5NhSLfMKGpkB,Hbndg8UnxjqvsbAiC9BVKhLxzyt8iJ2qQJW4J461fXMU,56581.850576261,0.01
Sgw8HD9PDkchCrBFap4TQ4mxUPuFZ8HPeT6i6bJ5cyT,7dXFVk1N3V2a8pRywkSe3KkWd3jkGfgKA6zG8cpggQvY,56562.447768788,0.01
5SVMyPFbkTRtTyaGfw2ttHufbw57UHikyRdqbdRdFVnn,6ownxU6A7dZJaBksqcxCjLvtfpk668eJArxct48Us56E,55689.520210706,0.01
4vyMJAqWRci5ue8X6Gq6aeM3xBfPcvDhWR7HQ2NH7v4f,HQB7TrxLxrzMiThFydrqt1TmdmLrfWhbnruWFvfBSVLT,54656.047330859,0.01
EbpWDkpT7cYS8Qfjzd3UVVkE2trboscvf2HkPBBhb1ii,3kyFxLWFcz2T8fpqWR5AqvfPJLP3GvtewaWFX8WquyLo,54555.244714851,0.01
Ckgsm6FLtatoHp7etvyybLNr53WuGoi2ZPUMHnCS8Pky,AwherR1A5GWGJgCn17iuatjKQqXnCEcdnDuc4Q4bfAkx,54112.843347153,0.01
AvsP66DryRKneToirJQAGBvkb36FgxsjNn87nEPiaSZE,5y44YtCtnt7JsjzotoHPjE91bLcCwsiWuqjg9uDQpUso,53371.166695309,0.01
HK1grL4f5x5igKq7geBGhB79CDai9CZp9vMhLtJBsdv6,CkayqJWimfAUgMb6814jeum1JSqCrzStvGNNYoZJfSSh,53301.608893809,0.01
NYzcDLm7U6MQDzRHgdMw38Kcc1BS1CBc2CFsrUzrCgR,Cm5GQn6u8DWirSyCk8ttsMvMzZjGbkQ4nox2osgFdGJi,51072.097966458,0.01
DCUCYGicGgPb5kN9ichq1SfJFPMmdaEuYCkNbd3CPeZF,2sPQ9YqSEMSgKMUMM6fCrwhuwKWR5ueyoyrkdgMdGJN3,49871.619404541,0.01
5ZEfBYYkrNTQF8RQdJ2jymFqMnoob8yJsbv7QVBMYvgG,EFKYqL9sqJkAW4tRQBJnVF7yqqUN9uE1VGomiYB6f758,49388.580316584,0.01
Hd9dJVDsSVWTUdrdjDCgy93maNHGxnRGzfHTJS7Bhr2q,2a4tpVH3oMErZBoZZPoz97RT3mHDwQ3pBLrV7GA2uXfG,49040.853985933,0.01
4D91M29GFDLyVgGUUPk1KUCXiuz7vFYkct5LHFpBiQU1,9gD9UctaKJyS5iQhqCoMCRij7NRUrzN28UZx16K71Wjt,48583.441075481,0.01
D5J5X4ddhX755Viq4AHwmjo2swhxZdQU3xGSmjxyrTFr,EWYDEvayvRRsMSZNFRcd3yv5zgewqDd43YkmeX2ZS4fN,47687.778309523,0.01
7jLgZGMUqpUsvyg5PuysepXahKhpS2BAkqC8ajPrZqUC,E6inVCFg3CTtL3ZvgAwDi1R3utm2GY3G6B1ZyE9VDMq,45426.228720746,0.00
CMJK6M6bV6hcWY6tbamytdr5m6fibJJjyX7acpxXzoyz,Cqyvejj23Ey9AC4LDu9nrTSYdUVz9vFmRJoRPXtamY8y,43579.48165635,0.00
FL4XcpvzL9AyTMtvqN3wafAygq3Dr2cUyXvicyjDBUkq,96u784p3Ycg8ySXsrpafCCKYpNQ1KcPj5gLpwqrZpyNU,42960.41785725,0.00
EG3k3PQrvGNR6zw3kke7zLXxkSBFMminZGac4DeeaVho,8NYYdDY3sML4pdxDCNeK7dKyReFjq4BwPTgqRfgyip2z,42816.167724996,0.00
ARA3EPryX36EcZr8vyHcTqTCTGsh2YvQCZBJ43bzHFav,3QAL1haR7wu215L2mich6Mr9tESjugrZNUGRzqVWTMu2,42155.458209497,0.00
Ht63fVainvNU24oNVNpMkgJGyJV3fFCLe6BZtwpPE7sW,FQqR9j8CYyYcN6dH1syZAupX6jW2ijhwahACfkaARxGU,41157.757746009,0.00
RDAvudNF4d65JojHerjr5wM14dvCLe67dg9Sj72zk2V,i8jDS79mimeuJE5uqkdGMLz7DHatbaVci3Y8qrXvvg6,39968.402812626,0.00
Ge2adNtKPDNZt2tY8RmPSDUdsAcxsrbipCw8nWGNEki3,D4SiZXUSX8suAayeNqANP4rbsFUsb2q9bgvfycoW5BpB,38551.252589787,0.00
2j1gZZz8z5T3pfhdtCEK7oiVTuHwtBAYbuHDDffYwHSJ,5si9qTvRs8xAjUdwKcXngxo44ChQxdVZokn6VNeygcQn,38517.615186506,0.00
FyiqewCdPouf3LYTGbWW5kii9teiGc9ZhMYAqwPh4bnh,Cyq37CakrAc78QwJuGuPR5VT2ujkMR7bx3ZufsPCwHAt,34685.001193409,0.00
Cpdp2557RyvcZ46DsZ9y3BwjfDc2CJC9tFMkBQwMmb98,3ASyxpS5VGJtRiwhkHXps3vXLz1eDr6iTf6UFnksgVEY,34245.435275151,0.00
4f4duc2j5JKfhW5ecZUcA6Dp5kdhU4rzqKmpAMSfLdTs,FAG4uWWPHRhCbZPDtcdUVTcXpz6coHh7y7JmkMDbxkKS,31859.999013741,0.00
AYfj96FfsRnTpekaB7tz86KgyVDCfL2NzFpu1g6oRuB5,KZu7QpMTjaa6iUh1cxBppWKWKsMKvkniqE8SQJeABtC,31344.0884386,0.00
BEochrdGhm5pcKVF73DURYrGo1DLzxq6bBcUBphQR64d,J4DwxCohYWgvKqF6EuayFBbZH83bh2qU5poxz5fbumoN,30474.388297334,0.00
FoVHArFsfdtcAMcLqXJRiXhN8HKECu2wtSaVPmx2nJvr,7tEGnst3Spj8A7rgtAurQsm3WuS3wNTzeB2XrQ2aTmWx,29070.280114946,0.00
BthWUNhRB11L7Cgi7c9x8VjBxmQfGgsp8W5YYRXjXUTa,Dr3QtZrUtim91X9uhF8afUSsmBZwAGThpxRZYdsCgS3m,28981.490487963,0.00
9LjkQZtzUkmADaQS6Ztpg9SLcGD42ZnoojnULFtu35Ur,9aPbf26emEDnoYKanWRzGLwxyrcSsgzQDjWbmPBRxesV,28950.528288374,0.00
5U6TaoLZVfdfJPXD5eKsXtJEuQK9xeSUMDS3XBdozAs9,GY3p187fKoQmhygnnNhSfedTmpfhKjjkTGRTzPwaJn3N,28096.531352492,0.00
Htbsz37uPv2iKrsefv3Hz7nZajEHMHK5onLodfYiLD8s,CkZdkhUaicbYCAwa6Y8UN7Zr1PSa7AHC4b9oTw7on6YV,26923.484467576,0.00
SdXvxXsELaAGanVEK2XQD4H2EAxGzmwDTTk2fjuXVke,6K2y57cXbr5WDMsFQAqYMZaj4CVLD5aHzDuusn6Q3dSq,26308.908554239,0.00
AifMZcM2Cwcsx5a9GL817fbPeXf2ZRuQrXecahUDsPmX,DEmbCLxd2hz36joX2i3eh5SvA3EabikUMbfg7CHtTY7w,26143.858278013,0.00
6iSkEwJqbwL6NF6MtSicBQ1LDJ8KqVuLXehCTN5FVfuj,HmQ51vLqWQZt5EyCis6uSU5NeqVJ39to1Se2ZoiTELLE,26137.33690639,0.00
7SZurAWTTTGTXmoKfp9E5DJH73UujeUJMNG8rDby3UfA,H3ZZf2maKxRVh2f3GUtLTQB65T8ucWBeZxVbBtJ7uyTp,25554.903360484,0.00
CoDYpUXmnFQac6uYdMHnZH4PhPHxQBDpWYXpWP8qJjpg,BN9NaRxDQznLgCxobdrkCTStLZ5vrjhB5mG5RW7aGtyX,25408.529351952,0.00
C3vRD8DX5MuuLiUrvwdsGM8qC6WDmu4XnykoEMyVK4a1,81XhnVuH9PoWDdaerfcqa6VsqU61CaMjco2edueaETr4,25127.640162854,0.00
HyoaeugLZvb1JcVGxRLkYHFwupsmwUeVT6SzatwSJJ8D,JBjKm2EFebabdXif5BxrYHJeSJvEs2gytjUAyWxrUs7x,24872.596727323,0.00
2dVQTSD22L23kgmrscUGeFjXYbRrzeoBeMeZmDDVhQub,AKPy8WRvaomFB1cyhXjzmLv6JwxrB7rZV6qEhh6BAPW9,24734.155505288,0.00
3dBZqYRCNRqYnsvirjnNdRh7GDBGcCkSAGcYxuejycqn,DyQKQ21eZ47apbe8VyHDqr1jpueyQf733DHYuJCF826d,24719.802521901,0.00
HZAQ6V45Ng936jWzGL8WeXEcpoE3htwh3xJgciQqdEkV,CzWW9j5S9KfNzmu4PuKd6r53XijdQ3Sz8UDvqKoUatQ,24105.673366391,0.00
Ahb8H3Nvrd2Vdafv3KhGcwSiSy9r1YYTVBdhzN72wu36,CP6oSYVeuPu98ZNBTYLZ1cq684gU1KXgb9cdaba4Sziw,24066.221828162,0.00
3xmeuhn4n9sv77ySy4YzJPk1Rh8usgzhngVJ34M3sCXR,8EjpmzrBgJPoRv8nJGqatJc48i5N3FQDyNzrETYwssyB,23944.209785574,0.00
25Ls3kGLj3o8QjTtJXrUo5XsdmCZuHUUpYe8J44pDxKd,2jL3akAtzm7cvQWq2MQayNsgysNPzjfd66FBaTcJUQ92,23476.005104111,0.00
tvNwJngnHVwaJGDrKSxgfc3tFNDRk9jkGxkfwfxY9ZR,7bfGhcSZJBMMPhAKr2sB1aYD1zkoHmvSbcBtHKoxC1cw,22829.687664896,0.00
5EeoGvGLTXudC5YVm4sErUuKE4tvKytu7CN3PBEFQqyX,73oXhmje81kt83KLitftoHP6FRsrxN6veztUNxrtjzvL,22702.725948725,0.00
8hgB6EoCPokXjpCWN7TK3EqqkNNVWX8ME2MU9iSTPgTf,DJ2a9JNpuVSKhY7AJ9a8WV8cK6XZqTTe4dErbviGLexL,21959.489149718,0.00
2tmMJJSPBkGdTwxn4sHFSrEqMJ1v3bNW3zVSo1uF1RPN,F1SvFdChtZoQvEV4bfpiTVTSfo7guZBaZi332MaB1vMG,21758.112439321,0.00
9obeQcaeTedfJ1aD9xPGHbRbGsUJ8ULNkgHGp1ksfhKF,HvGvf9d8ypR42iHTJDXw4k16yjUbjGz1oEibqzMQEG8q,20817.14399431,0.00
GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,5JPYYSWS3V21obxQN9RzvAB1CFsuvxJRkMKtfrAo3ayh,20786.329958671,0.00
rTrWk7qGUxFXLQ7aG2r5nz7KCE6mtPGzfAQMAo8jfCi,GN9XruGTe4ovQTbPPLMUYofbjYE58Psid7JUPwLdTt38,19636.81179636,0.00
64Fp9mrmFNZCfkc3Y9s6kjbHvQsrm152xUYVxLGFt26e,CUxPDt8SEBmEKzc3jwo9S3znsyWhFAYRFJXYW43MuxuE,19012.070583761,0.00
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,B3HDFw22LHFjk2iUCHrMmtq7SccRs5ma7KwqQZcbCsML,18803.053301944,0.00
4pppP6WCPhryWC3kNpLzEoDySCVEXGvzwcfDxSaMkD3X,FWjYUWbRMADrZpRLHMjEsanHKSwi2H22Byh2McoyDaNb,17406.142137005,0.00
2n78N5bVw1YAEB7mi4ohQ3By8ghx3HuaZTcSW4HLgZRs,8kit3b8Up4gFAhKn7Fh46LyG6cyTtYQgmykRQweBvVi3,17332.049568481,0.00
5rTx6GgQM9xS9HmSNbtbrBtWGMwddhyNmiYr926urp3i,8qPg5uohYUYfaTTyMC2ZRfjiGamErSKd6XGo4wcJVPfm,16409.396069017,0.00
H579xhEKL2ttbhbuntj6fgn3Um84x6pGrm4YMu1FVLZ5,42qYp61kvrbZEGreypdQciRQoH2uEUGR8JPdCyggXw9k,16236.815617966,0.00
FvfC75cGZ12cgUae76M8YrKvnBQBVidPAuB7NnV8QPHo,4RxZ2bgwVUpGskL3S4JNKk55yMHD7JTE5kgEPvAY3g4J,16116.534646982,0.00
C4m7Gb31eMqEispjchQK9zbxpLyCJe4nU8PKppZ6hpfa,2VKqinm7QC8hFPqgGJfnqjHr2aQRm1qfuSUgZmJRZhCb,16007.575553018,0.00
97j8rNHHG63rxUPp5pfrkPEooQazyWmPvoTJ8NYC2Zad,FGuaGCnrKSWfnUTZuLGov6pT4saEKZZHyaS92ZebB89Y,15882.033345831,0.00
HRzNbWAhhzvNV5aZHEUSnypSimWRcyBcDUUFYbPfixz7,FfnQfqSnMEFpw92g6oKqTGzqe6DK5Adgnf7vau4dCGZV,15568.933667105,0.00
9RQPaNjSq9mynoonwpL3F2TWNjP1eamMsHd4i24mpNWM,29Uht35HwaKvP4FQSwjw4P6RTcNUL7TQrUwjhymD2evd,15512.047557496,0.00
sce16LyrFT5t1YELbhoJTWbnfqWrpsgT3fvfHWaof6J,AioHJ5ofxwJ2PRAmJwSKfDNrekKt9S91BfiXzC7VrHzJ,14935.051706043,0.00
6go7QLtds3h4nk3vR7xFLUHrU76zNGZ2gv6V7gdAJdB8,GA5xrx87kog1R4Nzap89CpBGA6ue3epUPnk6sZSCqb7z,14686.303295692,0.00
G3kXTNCJtWsakaajxrUZkFWuH8t519Y4kiSXckeskncS,8vbNCXq5oixL8WbRnJSqVJG6aan4xNDSw1iYkTSduFaA,14539.160770621,0.00
BE5Zo4CYjahpL3kCtvtmsjJa77D7XfHhYusJXqcEg27H,9MDAEMfraj1CMaosspDj7kndu6dWY9kdbdRfKZ2vMmo1,14418.357428214,0.00
2Q3brPFR7h6rXzqUBk8Txi6TZCFoCCEBzj78prpGVWw7,HwkF7PMbSj3HFpCf2XDGZECqmr8SJvfdmLUYBMdijmPz,14061.146927587,0.00
24a1xgW2zAae38hDAGCB89Vd811EU1M2PJTw4Zs78DNn,BrHnqGqDKdtQiXbKQsCeWjKTVnNcE4u36qBAQLNKY689,13633.44835847,0.00
8AuNf5RSUwcEqfrfxGSyLxFDkpgTg29TxVTFYqc7mCdx,CXZLUxKBxQBDBPLgmc1JpvrbDtCJm64A5fk1J1ieA5NT,13333.018131435,0.00
4cx3CZGaKGn18ruoCNX7Aw2M5x4uHMwvBYBYSRve4VNN,GXtsqhxQh4VRVqWFoBTGpG6NW5Taj8Q3DJWA5C3JRPU2,12764.438804132,0.00
3G4nPvXK31b89VjWXyRTVCM3nSg5na5WpZL2pg7C1Bqj,3VsXqQRu9vu9ZTKyc35BMKfrmbrsiaX9qNBCEdYQSxgY,12496.120072985,0.00
BQNdxyAuLR5a9XQvgdM1kKhzWP9P4kRMFfNYFBa7pC1Z,3XCospoyoVYSG1RkFNuU6vXjXpkKda72oKSdqn2nkyLJ,12090.757453469,0.00
H3jNyDJ1w9z6Jz6LTsMXkzF1HiNH8bpaSonouWKnQsXK,HQGkGL79P6xQoCUkrbRNbxTHQiGK4bpV4xvWXw4cfjuq,11558.865875109,0.00
