Account,Token Account,Quantity,Percentage
JALmgbYubY2WPcjE84TGACeMkRhchQApLtXpWwveWpAw,HY5j6SAu4aHbgNPmcaRdRx8XHrPTtPdNp3TLqRBdFyDD,8362904.159923009,0.91
EYNsxgoUJGsXhAVx3rEGqyFzVLVrBWot1kiLkgAGTx5b,9DuAK4b5bjbYyVrFESe62v4VZ8j2kD6e7S9K27zp6Q83,8283979.825744958,0.90
H56yH4PQ8tqYtpq4PsfGTAfPDhPEHgRNo7ETGUdbSkh,DsvFbKDTsS4yFJGLMbNjzfvzsLeP8yCKmN715Bm5Rc4j,8206252.44970961,0.89
FYb8GaFDYDKGqVwYv5TEMb1D1B617dCJbMm9K8w17jjC,7B4Sev3KjPJUnjqmW4ZXULYb3m9k48QJPrHZPz4Y56KE,7937936.695700072,0.86
8r5Vr25XpXG7js8kVmGX9W9GpuNsbMJ1tQ7faCv6FTtt,5r5pm9dn9AfgfkJgc2fKbonABXcMeh9D1uRfrK1PGVw6,7828673.537097986,0.85
CyaD4ix1NTpdfQZGRUd9VKatT4HMqZXWERMemzzpMbWU,GTBjTMmKgZkd7rAKEQJNZV1jwVE6etKzrUKTgMdAUNuj,7660120.934643894,0.83
EScsaSLqDLK6yX1kkq9wmLT7WEhR8RousUbdaFNqo2kA,FewDebXRPPRFHu5cDXtEch4qUopTve6m2DiHYt96Uwk2,7000000,0.76
D4CVVD2QtMSoBCN3BZVuVcyYqfZXZvvR8LrxbQbC1mSZ,F27hC18bUXZtM4Wy73cNKSUj5Yc9hvdYjmC3zwN6zEhn,6707406.994573376,0.73
B8X36GEFkdv7NyHkeXh4Wd8zyxhXcVfHnZgYw5iVyWYP,Cxp7DJKKUkdPUk4txnYqJGAhLGxuDJeNUBuhgFvz2tWr,6214570.857673024,0.67
CgQsTyCKZjEFmQwUpSBmUi6PjT7c9PAcNizwcUJmpE5q,Fo5wPD2A9gRYuQc7X7PYSysq8GbmoMYQjkZTyvjbM76n,6071742.784380011,0.66
6q4pTNWtRFTGYVUvsEJVc9sFSz8TraF6upsjJb9Hvpb5,HJcfApagbQo9H2JnKCjVMjPLFqLv4PxayCH8ZV4u6dxJ,5614380.010883902,0.61
E1zrCeiLVwrJGELj3tgmdSQQBwXSHN9tbaqF2zrPbyM7,4WtN52RGhMduYKxa9Wgqxgcw1aFmYzY6sasXiFFAdWrc,5593734.155266829,0.61
D3LsBbt4yDdqzNwX8hXFY94KqAbq9rcyZ9mzvC2fa6h,rYKfVBjYLcdXCB3HeahmWTh1yRTcHB85eeN3DW96aTg,5331620.407093793,0.58
HubCdJpywd22JrZ2zPk49LPgDMtik95QvMVTdVac4ZwN,BJWHcDxDFeNnyqj18YePqcLPJiLFW4hPNeknYYYijXNJ,5216147.055126659,0.57
5nfRmayQ3S5ieJ2rxanbmTwjXks49nwSoGuzWTLLVsk1,3dpsKx6YRGuU8CST5ZdqkAaSkifgtj766Gu55RRzTKon,5146049.534648279,0.56
D98chbUDNX2v99Qcay1ev5QNpQDvoktYYk2w3WftHPcH,9uBi6gtkHQMLPbB2hKfLyCtwohHsiHTba6gzvmE7crTs,5009343.427461865,0.54
4tmbYyUoJahSogguzCRieAFdLp3RhzoRKdfGUpzUepEN,9VZf6p78godacnB3DzkJuZmGbdWortJyGEx3zwRF7gWR,5000441.183474653,0.54
A2U5owsnFK2jzgBguZCDqXsPzra7ufpYG5N6CFCeQrk6,EJNvT7LKnzatZLwrnJWU6mNft2fU4iKyBLjsjkq3i7Hn,4374298.882741763,0.48
